STCOU,CBSA,MDIV
12069,36740,
12095,36740,
12097,36740,
12117,36740,
55139,36780,
21059,36980,
21149,36980,
06111,37100,
17127,37140,
21007,37140,
21039,37140,
21139,37140,
21145,37140,
12009,37340,
12005,37460,
12133,37460,
54105,37620,
54107,37620,
12033,37860,
12113,37860,
17123,37900,
17143,37900,
17175,37900,
17179,37900,
17203,37900,
34005,37980,15804
34007,37980,15804
34015,37980,15804
42017,37980,33874
42029,37980,33874
42091,37980,33874
42045,37980,37964
42101,37980,37964
10003,37980,48864
24015,37980,48864
34033,37980,48864
04013,38060,
04021,38060,
37125,38240,
42003,38300,
42005,38300,
42007,38300,
42019,38300,
42051,38300,
42073,38300,
42125,38300,
42129,38300,
25003,38340,
16005,38540,
23005,38860,
23023,38860,
23031,38860,
41005,38900,
41009,38900,
41051,38900,
41067,38900,
41071,38900,
53011,38900,
53059,38900,
12085,38940,
12111,38940,
04025,39150,
25005,39300,
44001,39300,
44003,39300,
44005,39300,
44007,39300,
44009,39300,
49023,39340,
49049,39340,
08101,39380,
12015,39460,
55101,39540,
37069,39580,
37101,39580,
37183,39580,
46033,39660,
46093,39660,
46103,39660,
42011,39740,
06089,39820,
32019,39900,
32029,39900,
32031,39900,
51007,40060,
51036,40060,
51041,40060,
51053,40060,
51075,40060,
51085,40060,
51087,40060,
51097,40060,
51101,40060,
51127,40060,
51145,40060,
51149,40060,
51183,40060,
51570,40060,
51670,40060,
51730,40060,
51760,40060,
06065,40140,
06071,40140,
51023,40220,
51045,40220,
51067,40220,
51161,40220,
51770,40220,
51775,40220,
27039,40340,
27045,40340,
27109,40340,
27157,40340,
36051,40380,
36055,40380,
36069,40380,
36073,40380,
36117,40380,
17007,40420,
17201,40420,
37065,40580,
37127,40580,
13115,40660,
06017,40900,
06061,40900,
06067,40900,
06113,40900,
26145,40980,
27009,41060,
27145,41060,
49053,41100,
20043,41140,
29003,41140,
29021,41140,
29063,41140,
17005,41180,
17013,41180,
17027,41180,
17083,41180,
17117,41180,
17119,41180,
17133,41180,
17163,41180,
29071,41180,
29099,41180,
29113,41180,
29183,41180,
29189,41180,
29219,41180,
29510,41180,
41047,41420,
41053,41420,
06053,41500,
24039,41540,
24045,41540,
49035,41620,
49045,41620,
48235,41660,
48451,41660,
48013,41700,
48019,41700,
48029,41700,
48091,41700,
48187,41700,
48259,41700,
48325,41700,
48493,41700,
06073,41740,
39043,41780,
39123,41780,
06001,41860,36084
06013,41860,36084
06075,41860,41884
06081,41860,41884
06041,41860,42034
06069,41940,
06085,41940,
06079,42020,
06087,42100,
35049,42140,
06083,42200,
06097,42220,
13029,42340,
13051,42340,
13103,42340,
42069,42540,
42079,42540,
42131,42540,
53061,42660,21794
53033,42660,42644
53053,42660,45104
12061,42680,
12055,42700,
55117,43100,
48181,43300,
22015,43340,
22017,43340,
22031,43340,
04003,43420,
19193,43580,
31043,43580,
46127,43580,
27133,43620,
46083,43620,
46087,43620,
46099,43620,
46125,43620,
22103,43640,
18141,43780,
26027,43780,
45083,43900,
45087,43900,
53063,44060,
53065,44060,
17129,44100,
17167,44100,
25013,44140,
29043,44180,
29059,44180,
29077,44180,
29167,44180,
29225,44180,
39023,44220,
42027,44300,
51015,44420,
51790,44420,
51820,44420,
06077,44700,
45085,44940,
36053,45060,
36067,45060,
36075,45060,
12039,45220,
12065,45220,
12073,45220,
12129,45220,
12103,45300,41304
12053,45300,45294
12057,45300,45294
12101,45300,45294
18021,45460,
18153,45460,
18165,45460,
18167,45460,
05081,45500,
05091,45500,
48037,45500,
39051,45780,
39095,45780,
39173,45780,
20085,45820,
20087,45820,
20139,45820,
20177,45820,
20197,45820,
26019,45900,
26055,45900,
26079,45900,
26089,45900,
34021,45940,
04019,46060,
40037,46140,
40111,46140,
40113,46140,
40117,46140,
40131,46140,
40143,46140,
40145,46140,
01063,46220,
01065,46220,
01107,46220,
01125,46220,
16053,46300,
16083,46300,
48423,46340,
15003,46520,
36043,46540,
36065,46540,
13027,46660,
13101,46660,
13173,46660,
13185,46660,
06095,46700,
48175,47020,
48469,47020,
34011,47220,
37029,47260,
37053,47260,
37073,47260,
51073,47260,
51093,47260,
51095,47260,
51115,47260,
51181,47260,
51199,47260,
51550,47260,
51650,47260,
51700,47260,
51710,47260,
51735,47260,
51740,47260,
51800,47260,
51810,47260,
51830,47260,
06107,47300,
48035,47380,
48145,47380,
48309,47380,
53071,47460,
13153,47580,
13225,47580,
51013,47900,11694
51043,47900,11694
51047,47900,11694
51059,47900,11694
51061,47900,11694
51107,47900,11694
51153,47900,11694
51157,47900,11694
51177,47900,11694
51179,47900,11694
51187,47900,11694
51510,47900,11694
51600,47900,11694
51610,47900,11694
51630,47900,11694
51683,47900,11694
51685,47900,11694
54037,47900,11694
24021,47900,23224
24031,47900,23224
11001,47900,47764
24017,47900,47764
24033,47900,47764
09140,47930,
19013,47940,
19017,47940,
19075,47940,
36045,48060,
